date,time_code,demand_code,demand,series_code,series,value_million_yen,value_100m_yen,unit
2023-03-01,2023000303,100,受注額合計,100,季節調整系列,2510943.56496,25109.4356496,100万円
2023-03-01,2023000303,120,海外需要,100,季節調整系列,1174298.40117,11742.9840117,100万円
2023-03-01,2023000303,130,官公需計,100,季節調整系列,292953.69415,2929.5369415,100万円
2023-03-01,2023000303,140,民間需要合計,100,季節調整系列,961470.81227,9614.7081227,100万円
2023-03-01,2023000303,160,民間需要（船舶・電力を除く）,100,季節調整系列,841965.49913,8419.6549913,100万円
2023-03-01,2023000303,170,民間需要_製造業計,100,季節調整系列,409133.28993,4091.3328993000005,100万円
2023-03-01,2023000303,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,438013.04163,4380.1304162999995,100万円
2023-03-01,2023000303,100,受注額合計,110,原系列,4057127.0,40571.27,100万円
2023-03-01,2023000303,120,海外需要,110,原系列,1473085.0,14730.85,100万円
2023-03-01,2023000303,130,官公需計,110,原系列,790872.0,7908.72,100万円
2023-03-01,2023000303,140,民間需要合計,110,原系列,1656154.0,16561.54,100万円
2023-03-01,2023000303,160,民間需要（船舶・電力を除く）,110,原系列,1380129.0,13801.29,100万円
2023-03-01,2023000303,170,民間需要_製造業計,110,原系列,613278.0,6132.78,100万円
2023-03-01,2023000303,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,769641.0,7696.41,100万円
2023-04-01,2023000404,100,受注額合計,100,季節調整系列,2692848.4768,26928.484768,100万円
2023-04-01,2023000404,120,海外需要,100,季節調整系列,1114271.89683,11142.7189683,100万円
2023-04-01,2023000404,130,官公需計,100,季節調整系列,343747.40747,3437.4740746999996,100万円
2023-04-01,2023000404,140,民間需要合計,100,季節調整系列,999483.96915,9994.8396915,100万円
2023-04-01,2023000404,160,民間需要（船舶・電力を除く）,100,季節調整系列,879316.7135,8793.167135,100万円
2023-04-01,2023000404,170,民間需要_製造業計,100,季節調整系列,402008.05482,4020.0805482,100万円
2023-04-01,2023000404,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,472072.50017,4720.725001700001,100万円
2023-04-01,2023000404,100,受注額合計,110,原系列,2467395.0,24673.95,100万円
2023-04-01,2023000404,120,海外需要,110,原系列,1022306.0,10223.06,100万円
2023-04-01,2023000404,130,官公需計,110,原系列,359289.0,3592.89,100万円
2023-04-01,2023000404,140,民間需要合計,110,原系列,960211.0,9602.11,100万円
2023-04-01,2023000404,160,民間需要（船舶・電力を除く）,110,原系列,874076.0,8740.76,100万円
2023-04-01,2023000404,170,民間需要_製造業計,110,原系列,409152.0,4091.52,100万円
2023-04-01,2023000404,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,466766.0,4667.66,100万円
2023-05-01,2023000505,100,受注額合計,100,季節調整系列,2565945.28832,25659.4528832,100万円
2023-05-01,2023000505,120,海外需要,100,季節調整系列,1190603.44325,11906.0344325,100万円
2023-05-01,2023000505,130,官公需計,100,季節調整系列,363562.47663,3635.6247663,100万円
2023-05-01,2023000505,140,民間需要合計,100,季節調整系列,950818.4024,9508.184024,100万円
2023-05-01,2023000505,160,民間需要（船舶・電力を除く）,100,季節調整系列,839118.85242,8391.1885242,100万円
2023-05-01,2023000505,170,民間需要_製造業計,100,季節調整系列,415442.66565,4154.4266565,100万円
2023-05-01,2023000505,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,404427.56286,4044.2756286,100万円
2023-05-01,2023000505,100,受注額合計,110,原系列,2270105.0,22701.05,100万円
2023-05-01,2023000505,120,海外需要,110,原系列,1136620.0,11366.2,100万円
2023-05-01,2023000505,130,官公需計,110,原系列,252403.0,2524.03,100万円
2023-05-01,2023000505,140,民間需要合計,110,原系列,793032.0,7930.32,100万円
2023-05-01,2023000505,160,民間需要（船舶・電力を除く）,110,原系列,702241.0,7022.41,100万円
2023-05-01,2023000505,170,民間需要_製造業計,110,原系列,372035.0,3720.35,100万円
2023-05-01,2023000505,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,331524.0,3315.24,100万円
2023-06-01,2023000606,100,受注額合計,100,季節調整系列,2608958.43632,26089.5843632,100万円
2023-06-01,2023000606,120,海外需要,100,季節調整系列,1135111.01361,11351.1101361,100万円
2023-06-01,2023000606,130,官公需計,100,季節調整系列,357891.15614,3578.9115613999998,100万円
2023-06-01,2023000606,140,民間需要合計,100,季節調整系列,999829.78178,9998.2978178,100万円
2023-06-01,2023000606,160,民間需要（船舶・電力を除く）,100,季節調整系列,854927.90203,8549.2790203,100万円
2023-06-01,2023000606,170,民間需要_製造業計,100,季節調整系列,422769.77367,4227.6977367,100万円
2023-06-01,2023000606,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,433093.24663,4330.9324663,100万円
2023-06-01,2023000606,100,受注額合計,110,原系列,2754336.0,27543.36,100万円
2023-06-01,2023000606,120,海外需要,110,原系列,1235000.0,12350.0,100万円
2023-06-01,2023000606,130,官公需計,110,原系列,303810.0,3038.1,100万円
2023-06-01,2023000606,140,民間需要合計,110,原系列,1084134.0,10841.34,100万円
2023-06-01,2023000606,160,民間需要（船舶・電力を除く）,110,原系列,930029.0,9300.29,100万円
2023-06-01,2023000606,170,民間需要_製造業計,110,原系列,461767.0,4617.67,100万円
2023-06-01,2023000606,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,470233.0,4702.33,100万円
2023-07-01,2023000707,100,受注額合計,100,季節調整系列,2817399.98573,28173.999857299998,100万円
2023-07-01,2023000707,120,海外需要,100,季節調整系列,1161380.41716,11613.804171599999,100万円
2023-07-01,2023000707,130,官公需計,100,季節調整系列,362686.94769,3626.8694769,100万円
2023-07-01,2023000707,140,民間需要合計,100,季節調整系列,1252094.54468,12520.9454468,100万円
2023-07-01,2023000707,160,民間需要（船舶・電力を除く）,100,季節調整系列,847756.8846,8477.568846,100万円
2023-07-01,2023000707,170,民間需要_製造業計,100,季節調整系列,414553.02944,4145.5302944000005,100万円
2023-07-01,2023000707,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,430086.71359,4300.8671359,100万円
2023-07-01,2023000707,100,受注額合計,110,原系列,2573303.0,25733.03,100万円
2023-07-01,2023000707,120,海外需要,110,原系列,1090309.0,10903.09,100万円
2023-07-01,2023000707,130,官公需計,110,原系列,247346.0,2473.46,100万円
2023-07-01,2023000707,140,民間需要合計,110,原系列,1120528.0,11205.28,100万円
2023-07-01,2023000707,160,民間需要（船舶・電力を除く）,110,原系列,752680.0,7526.8,100万円
2023-07-01,2023000707,170,民間需要_製造業計,110,原系列,386235.0,3862.35,100万円
2023-07-01,2023000707,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,368744.0,3687.44,100万円
2023-08-01,2023000808,100,受注額合計,100,季節調整系列,2557598.19829,25575.9819829,100万円
2023-08-01,2023000808,120,海外需要,100,季節調整系列,1118686.69282,11186.8669282,100万円
2023-08-01,2023000808,130,官公需計,100,季節調整系列,290413.83652,2904.1383652,100万円
2023-08-01,2023000808,140,民間需要合計,100,季節調整系列,1013080.53741,10130.8053741,100万円
2023-08-01,2023000808,160,民間需要（船舶・電力を除く）,100,季節調整系列,857349.28875,8573.492887499999,100万円
2023-08-01,2023000808,170,民間需要_製造業計,100,季節調整系列,417064.35021,4170.6435021,100万円
2023-08-01,2023000808,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,437316.54534,4373.1654534,100万円
2023-08-01,2023000808,100,受注額合計,110,原系列,2221819.0,22218.19,100万円
2023-08-01,2023000808,120,海外需要,110,原系列,1036349.0,10363.49,100万円
2023-08-01,2023000808,130,官公需計,110,原系列,216744.0,2167.44,100万円
2023-08-01,2023000808,140,民間需要合計,110,原系列,852092.0,8520.92,100万円
2023-08-01,2023000808,160,民間需要（船舶・電力を除く）,110,原系列,742924.0,7429.24,100万円
2023-08-01,2023000808,170,民間需要_製造業計,110,原系列,385338.0,3853.38,100万円
2023-08-01,2023000808,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,358882.0,3588.82,100万円
2023-09-01,2023000909,100,受注額合計,100,季節調整系列,2854990.45946,28549.9045946,100万円
2023-09-01,2023000909,120,海外需要,100,季節調整系列,1300051.66996,13000.5166996,100万円
2023-09-01,2023000909,130,官公需計,100,季節調整系列,393267.90076,3932.6790075999997,100万円
2023-09-01,2023000909,140,民間需要合計,100,季節調整系列,1039343.72717,10393.4372717,100万円
2023-09-01,2023000909,160,民間需要（船舶・電力を除く）,100,季節調整系列,864024.71912,8640.2471912,100万円
2023-09-01,2023000909,170,民間需要_製造業計,100,季節調整系列,412780.70136,4127.8070136,100万円
2023-09-01,2023000909,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,456770.83947,4567.7083947,100万円
2023-09-01,2023000909,100,受注額合計,110,原系列,3222900.0,32229.0,100万円
2023-09-01,2023000909,120,海外需要,110,原系列,1395567.0,13955.67,100万円
2023-09-01,2023000909,130,官公需計,110,原系列,508190.0,5081.9,100万円
2023-09-01,2023000909,140,民間需要合計,110,原系列,1206135.0,12061.35,100万円
2023-09-01,2023000909,160,民間需要（船舶・電力を除く）,110,原系列,1036930.0,10369.3,100万円
2023-09-01,2023000909,170,民間需要_製造業計,110,原系列,457503.0,4575.03,100万円
2023-09-01,2023000909,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,581340.0,5813.4,100万円
2023-10-01,2023001010,100,受注額合計,100,季節調整系列,2659522.76289,26595.2276289,100万円
2023-10-01,2023001010,120,海外需要,100,季節調整系列,1220230.13334,12202.301333399999,100万円
2023-10-01,2023001010,130,官公需計,100,季節調整系列,297743.37,2977.4337,100万円
2023-10-01,2023001010,140,民間需要合計,100,季節調整系列,1011343.97355,10113.4397355,100万円
2023-10-01,2023001010,160,民間需要（船舶・電力を除く）,100,季節調整系列,853669.46329,8536.6946329,100万円
2023-10-01,2023001010,170,民間需要_製造業計,100,季節調整系列,406361.56472,4063.6156472000002,100万円
2023-10-01,2023001010,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,446703.22001,4467.0322000999995,100万円
2023-10-01,2023001010,100,受注額合計,110,原系列,2377518.0,23775.18,100万円
2023-10-01,2023001010,120,海外需要,110,原系列,1132723.0,11327.23,100万円
2023-10-01,2023001010,130,官公需計,110,原系列,242821.0,2428.21,100万円
2023-10-01,2023001010,140,民間需要合計,110,原系列,872889.0,8728.89,100万円
2023-10-01,2023001010,160,民間需要（船舶・電力を除く）,110,原系列,757440.0,7574.4,100万円
2023-10-01,2023001010,170,民間需要_製造業計,110,原系列,377068.0,3770.68,100万円
2023-10-01,2023001010,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,382694.0,3826.94,100万円
2023-11-01,2023001111,100,受注額合計,100,季節調整系列,2710833.8783,27108.338783,100万円
2023-11-01,2023001111,120,海外需要,100,季節調整系列,1248901.88762,12489.0188762,100万円
2023-11-01,2023001111,130,官公需計,100,季節調整系列,379646.71253,3796.4671253,100万円
2023-11-01,2023001111,140,民間需要合計,100,季節調整系列,960331.00479,9603.3100479,100万円
2023-11-01,2023001111,160,民間需要（船舶・電力を除く）,100,季節調整系列,825107.56482,8251.0756482,100万円
2023-11-01,2023001111,170,民間需要_製造業計,100,季節調整系列,395370.73308,3953.7073308,100万円
2023-11-01,2023001111,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,447182.01409,4471.8201409,100万円
2023-11-01,2023001111,100,受注額合計,110,原系列,2387790.0,23877.9,100万円
2023-11-01,2023001111,120,海外需要,110,原系列,1191833.0,11918.33,100万円
2023-11-01,2023001111,130,官公需計,110,原系列,244797.0,2447.97,100万円
2023-11-01,2023001111,140,民間需要合計,110,原系列,827364.0,8273.64,100万円
2023-11-01,2023001111,160,民間需要（船舶・電力を除く）,110,原系列,738381.0,7383.81,100万円
2023-11-01,2023001111,170,民間需要_製造業計,110,原系列,346004.0,3460.04,100万円
2023-11-01,2023001111,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,393449.0,3934.49,100万円
2023-12-01,2023001212,100,受注額合計,100,季節調整系列,2866739.27951,28667.392795099997,100万円
2023-12-01,2023001212,120,海外需要,100,季節調整系列,1251958.46928,12519.584692800001,100万円
2023-12-01,2023001212,130,官公需計,100,季節調整系列,395899.46375,3958.9946375,100万円
2023-12-01,2023001212,140,民間需要合計,100,季節調整系列,1125201.04254,11252.0104254,100万円
2023-12-01,2023001212,160,民間需要（船舶・電力を除く）,100,季節調整系列,836260.73363,8362.6073363,100万円
2023-12-01,2023001212,170,民間需要_製造業計,100,季節調整系列,415872.43552,4158.7243552,100万円
2023-12-01,2023001212,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,432325.10987,4323.2510987,100万円
2023-12-01,2023001212,100,受注額合計,110,原系列,3183789.0,31837.89,100万円
2023-12-01,2023001212,120,海外需要,110,原系列,1435543.0,14355.43,100万円
2023-12-01,2023001212,130,官公需計,110,原系列,379408.0,3794.08,100万円
2023-12-01,2023001212,140,民間需要合計,110,原系列,1241409.0,12414.09,100万円
2023-12-01,2023001212,160,民間需要（船舶・電力を除く）,110,原系列,915641.0,9156.41,100万円
2023-12-01,2023001212,170,民間需要_製造業計,110,原系列,440715.0,4407.15,100万円
2023-12-01,2023001212,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,476903.0,4769.03,100万円
2024-01-01,2024000101,100,受注額合計,100,季節調整系列,2687610.35421,26876.1035421,100万円
2024-01-01,2024000101,120,海外需要,100,季節調整系列,1232314.16847,12323.1416847,100万円
2024-01-01,2024000101,130,官公需計,100,季節調整系列,436467.72007,4364.6772007,100万円
2024-01-01,2024000101,140,民間需要合計,100,季節調整系列,948738.8674,9487.388674,100万円
2024-01-01,2024000101,160,民間需要（船舶・電力を除く）,100,季節調整系列,835842.33346,8358.4233346,100万円
2024-01-01,2024000101,170,民間需要_製造業計,100,季節調整系列,370579.26777,3705.7926777,100万円
2024-01-01,2024000101,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,464162.01661,4641.6201661,100万円
2024-01-01,2024000101,100,受注額合計,110,原系列,2268246.0,22682.46,100万円
2024-01-01,2024000101,120,海外需要,110,原系列,1144686.0,11446.86,100万円
2024-01-01,2024000101,130,官公需計,110,原系列,250523.0,2505.23,100万円
2024-01-01,2024000101,140,民間需要合計,110,原系列,760046.0,7600.46,100万円
2024-01-01,2024000101,160,民間需要（船舶・電力を除く）,110,原系列,662556.0,6625.56,100万円
2024-01-01,2024000101,170,民間需要_製造業計,110,原系列,305784.0,3057.84,100万円
2024-01-01,2024000101,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,358864.0,3588.64,100万円
2024-02-01,2024000202,100,受注額合計,100,季節調整系列,2828187.85326,28281.878532599996,100万円
2024-02-01,2024000202,120,海外需要,100,季節調整系列,1236851.08239,12368.510823900002,100万円
2024-02-01,2024000202,130,官公需計,100,季節調整系列,431428.90661,4314.2890661,100万円
2024-02-01,2024000202,140,民間需要合計,100,季節調整系列,987036.1016,9870.361016,100万円
2024-02-01,2024000202,160,民間需要（船舶・電力を除く）,100,季節調整系列,881182.7375,8811.827375,100万円
2024-02-01,2024000202,170,民間需要_製造業計,100,季節調整系列,401951.92098,4019.5192097999998,100万円
2024-02-01,2024000202,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,500279.41178,5002.7941178,100万円
2024-02-01,2024000202,100,受注額合計,110,原系列,2540267.0,25402.67,100万円
2024-02-01,2024000202,120,海外需要,110,原系列,1102342.0,11023.42,100万円
2024-02-01,2024000202,130,官公需計,110,原系列,450328.0,4503.28,100万円
2024-02-01,2024000202,140,民間需要合計,110,原系列,869449.0,8694.49,100万円
2024-02-01,2024000202,160,民間需要（船舶・電力を除く）,110,原系列,766466.0,7664.66,100万円
2024-02-01,2024000202,170,民間需要_製造業計,110,原系列,344459.0,3444.59,100万円
2024-02-01,2024000202,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,425655.0,4256.55,100万円
2024-03-01,2024000303,100,受注額合計,100,季節調整系列,3139684.39588,31396.843958800004,100万円
2024-03-01,2024000303,120,海外需要,100,季節調整系列,1230582.41144,12305.824114399999,100万円
2024-03-01,2024000303,130,官公需計,100,季節調整系列,558470.91503,5584.7091503,100万円
2024-03-01,2024000303,140,民間需要合計,100,季節調整系列,1055615.57027,10556.1557027,100万円
2024-03-01,2024000303,160,民間需要（船舶・電力を除く）,100,季節調整系列,895485.08407,8954.850840699999,100万円
2024-03-01,2024000303,170,民間需要_製造業計,100,季節調整系列,452834.79606,4528.3479606,100万円
2024-03-01,2024000303,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,446508.22713,4465.0822713,100万円
2024-03-01,2024000303,100,受注額合計,110,原系列,4952794.0,49527.94,100万円
2024-03-01,2024000303,120,海外需要,110,原系列,1549023.0,15490.23,100万円
2024-03-01,2024000303,130,官公需計,110,原系列,1503714.0,15037.14,100万円
2024-03-01,2024000303,140,民間需要合計,110,原系列,1760542.0,17605.42,100万円
2024-03-01,2024000303,160,民間需要（船舶・電力を除く）,110,原系列,1417457.0,14174.57,100万円
2024-03-01,2024000303,170,民間需要_製造業計,110,原系列,661616.0,6616.16,100万円
2024-03-01,2024000303,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,759671.0,7596.71,100万円
2024-04-01,2024000404,100,受注額合計,100,季節調整系列,2990451.46694,29904.514669400003,100万円
2024-04-01,2024000404,120,海外需要,100,季節調整系列,1348429.25072,13484.2925072,100万円
2024-04-01,2024000404,130,官公需計,100,季節調整系列,381731.59576,3817.3159576,100万円
2024-04-01,2024000404,140,民間需要合計,100,季節調整系列,1095513.54116,10955.1354116,100万円
2024-04-01,2024000404,160,民間需要（船舶・電力を除く）,100,季節調整系列,875581.04059,8755.8104059,100万円
2024-04-01,2024000404,170,民間需要_製造業計,100,季節調整系列,407841.98665,4078.4198665,100万円
2024-04-01,2024000404,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,465372.15467,4653.7215467000005,100万円
2024-04-01,2024000404,100,受注額合計,110,原系列,2821914.0,28219.14,100万円
2024-04-01,2024000404,120,海外需要,110,原系列,1228200.0,12282.0,100万円
2024-04-01,2024000404,130,官公需計,110,原系列,389482.0,3894.82,100万円
2024-04-01,2024000404,140,民間需要合計,110,原系列,1083994.0,10839.94,100万円
2024-04-01,2024000404,160,民間需要（船舶・電力を除く）,110,原系列,880279.0,8802.79,100万円
2024-04-01,2024000404,170,民間需要_製造業計,110,原系列,426110.0,4261.1,100万円
2024-04-01,2024000404,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,455570.0,4555.7,100万円
2024-05-01,2024000505,100,受注額合計,100,季節調整系列,3144467.99103,31444.6799103,100万円
2024-05-01,2024000505,120,海外需要,100,季節調整系列,1451058.89424,14510.5889424,100万円
2024-05-01,2024000505,130,官公需計,100,季節調整系列,355326.96652,3553.2696652,100万円
2024-05-01,2024000505,140,民間需要合計,100,季節調整系列,1251397.41351,12513.974135100001,100万円
2024-05-01,2024000505,160,民間需要（船舶・電力を除く）,100,季節調整系列,860164.15709,8601.6415709,100万円
2024-05-01,2024000505,170,民間需要_製造業計,100,季節調整系列,416557.49209,4165.5749209000005,100万円
2024-05-01,2024000505,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,446451.05108,4464.5105108,100万円
2024-05-01,2024000505,100,受注額合計,110,原系列,2773356.0,27733.56,100万円
2024-05-01,2024000505,120,海外需要,110,原系列,1373904.0,13739.04,100万円
2024-05-01,2024000505,130,官公需計,110,原系列,242722.0,2427.22,100万円
2024-05-01,2024000505,140,民間需要合計,110,原系列,1052657.0,10526.57,100万円
2024-05-01,2024000505,160,民間需要（船舶・電力を除く）,110,原系列,778276.0,7782.76,100万円
2024-05-01,2024000505,170,民間需要_製造業計,110,原系列,396159.0,3961.59,100万円
2024-05-01,2024000505,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,384079.0,3840.79,100万円
2024-06-01,2024000606,100,受注額合計,100,季節調整系列,3096998.76489,30969.9876489,100万円
2024-06-01,2024000606,120,海外需要,100,季節調整系列,1469166.20106,14691.662010600001,100万円
2024-06-01,2024000606,130,官公需計,100,季節調整系列,408328.64403,4083.2864403000003,100万円
2024-06-01,2024000606,140,民間需要合計,100,季節調整系列,1061733.52772,10617.3352772,100万円
2024-06-01,2024000606,160,民間需要（船舶・電力を除く）,100,季節調整系列,874428.59326,8744.2859326,100万円
2024-06-01,2024000606,170,民間需要_製造業計,100,季節調整系列,425719.72989,4257.1972989000005,100万円
2024-06-01,2024000606,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,448458.26387,4484.582638700001,100万円
2024-06-01,2024000606,100,受注額合計,110,原系列,3196854.0,31968.54,100万円
2024-06-01,2024000606,120,海外需要,110,原系列,1611318.0,16113.18,100万円
2024-06-01,2024000606,130,官公需計,110,原系列,340683.0,3406.83,100万円
2024-06-01,2024000606,140,民間需要合計,110,原系列,1128930.0,11289.3,100万円
2024-06-01,2024000606,160,民間需要（船舶・電力を除く）,110,原系列,914657.0,9146.57,100万円
2024-06-01,2024000606,170,民間需要_製造業計,110,原系列,447488.0,4474.88,100万円
2024-06-01,2024000606,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,468689.0,4686.89,100万円
2024-07-01,2024000707,100,受注額合計,100,季節調整系列,3042360.09677,30423.6009677,100万円
2024-07-01,2024000707,120,海外需要,100,季節調整系列,1616753.94053,16167.5394053,100万円
2024-07-01,2024000707,130,官公需計,100,季節調整系列,379472.73402,3794.7273401999996,100万円
2024-07-01,2024000707,140,民間需要合計,100,季節調整系列,1001616.76318,10016.1676318,100万円
2024-07-01,2024000707,160,民間需要（船舶・電力を除く）,100,季節調整系列,876135.24474,8761.3524474,100万円
2024-07-01,2024000707,170,民間需要_製造業計,100,季節調整系列,408790.79654,4087.9079654,100万円
2024-07-01,2024000707,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,475195.9347,4751.959347,100万円
2024-07-01,2024000707,100,受注額合計,110,原系列,2833380.0,28333.8,100万円
2024-07-01,2024000707,120,海外需要,110,原系列,1520161.0,15201.61,100万円
2024-07-01,2024000707,130,官公需計,110,原系列,259416.0,2594.16,100万円
2024-07-01,2024000707,140,民間需要合計,110,原系列,922512.0,9225.12,100万円
2024-07-01,2024000707,160,民間需要（船舶・電力を除く）,110,原系列,818346.0,8183.46,100万円
2024-07-01,2024000707,170,民間需要_製造業計,110,原系列,394521.0,3945.21,100万円
2024-07-01,2024000707,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,425909.0,4259.09,100万円
2024-08-01,2024000808,100,受注額合計,100,季節調整系列,3017571.77126,30175.7177126,100万円
2024-08-01,2024000808,120,海外需要,100,季節調整系列,1362285.83516,13622.8583516,100万円
2024-08-01,2024000808,130,官公需計,100,季節調整系列,518798.96485,5187.9896485,100万円
2024-08-01,2024000808,140,民間需要合計,100,季節調整系列,1003246.97291,10032.4697291,100万円
2024-08-01,2024000808,160,民間需要（船舶・電力を除く）,100,季節調整系列,871779.18059,8717.7918059,100万円
2024-08-01,2024000808,170,民間需要_製造業計,100,季節調整系列,402964.48401,4029.6448401000002,100万円
2024-08-01,2024000808,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,457107.29421,4571.072942100001,100万円
2024-08-01,2024000808,100,受注額合計,110,原系列,2565772.0,25657.72,100万円
2024-08-01,2024000808,120,海外需要,110,原系列,1251185.0,12511.85,100万円
2024-08-01,2024000808,130,官公需計,110,原系列,374956.0,3749.56,100万円
2024-08-01,2024000808,140,民間需要合計,110,原系列,829999.0,8299.99,100万円
2024-08-01,2024000808,160,民間需要（船舶・電力を除く）,110,原系列,717915.0,7179.15,100万円
2024-08-01,2024000808,170,民間需要_製造業計,110,原系列,350628.0,3506.28,100万円
2024-08-01,2024000808,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,368607.0,3686.07,100万円
2024-09-01,2024000909,100,受注額合計,100,季節調整系列,2941811.18199,29418.1118199,100万円
2024-09-01,2024000909,120,海外需要,100,季節調整系列,1265917.41547,12659.174154699998,100万円
2024-09-01,2024000909,130,官公需計,100,季節調整系列,513246.04373,5132.4604373,100万円
2024-09-01,2024000909,140,民間需要合計,100,季節調整系列,994734.62907,9947.3462907,100万円
2024-09-01,2024000909,160,民間需要（船舶・電力を除く）,100,季節調整系列,863102.24536,8631.022453599999,100万円
2024-09-01,2024000909,170,民間需要_製造業計,100,季節調整系列,395103.5267,3951.0352669999997,100万円
